connections,read_percent,write_percent,db_mem_coef,pgpool_cache_coef,read_cost,write_cost,not_effective
80,100,0,0.5555555555555556,0.8333333333333333,61.89,0.0,0
90,100,0,0.5555555555555556,0.8333333333333333,61.76,0.0,0
97,100,0,0.5555555555555556,0.8333333333333333,61.89,0.0,1
100,100,0,0.5555555555555556,0.8333333333333333,61.89,0.0,0
150,100,0,0.5555555555555556,0.8333333333333333,61.89,0.0,0
170,100,0,0.5555555555555556,0.8333333333333333,61.89,0.0,0
210,100,0,0.5555555555555556,0.8333333333333333,61.89,0.0,0
250,100,0,0.5555555555555556,0.8333333333333333,61.76,0.0,0
280,100,0,0.5555555555555556,0.8333333333333333,61.89,0.0,0
320,100,0,0.5555555555555556,0.8333333333333333,61.89,0.0,0
80,100,0,0.5194805194805194,0.7792207792207793,65.41,0.0,0
90,100,0,0.5194805194805194,0.7792207792207793,65.41,0.0,0
100,100,0,0.5194805194805194,0.7792207792207793,65.41,0.0,0
150,100,0,0.5194805194805194,0.7792207792207793,65.41,0.0,0
210,100,0,0.5194805194805194,0.7792207792207793,65.41,0.0,0
280,100,0,0.5194805194805194,0.7792207792207793,65.41,0.0,0
320,100,0,0.5194805194805194,0.7792207792207793,65.41,0.0,0
80,36,66,1.5384615384615383,2.3076923076923075,29.05,11.44,0
80,73,27,1.5384615384615383,2.3076923076923075,29.05,11.44,0
80,92,8,1.5384615384615383,2.3076923076923075,29.05,11.44,0
90,36,66,1.5384615384615383,2.3076923076923075,29.05,11.44,0
90,73,27,1.5384615384615383,2.3076923076923075,29.05,11.44,0
90,92,8,1.5384615384615383,2.3076923076923075,29.05,11.44,0
100,36,66,1.5384615384615383,2.3076923076923075,29.05,11.44,1
100,73,27,1.5384615384615383,2.3076923076923075,29.05,11.44,1
100,92,8,1.5384615384615383,2.3076923076923075,29.05,11.44,1
150,36,66,1.5384615384615383,2.3076923076923075,29.05,11.44,0
150,73,27,1.5384615384615383,2.3076923076923075,29.05,11.44,0
150,92,8,1.5384615384615383,2.3076923076923075,29.05,11.44,0
210,36,66,1.5384615384615383,2.3076923076923075,29.05,11.44,0
210,73,27,1.5384615384615383,2.3076923076923075,29.05,11.44,0
210,92,8,1.5384615384615383,2.3076923076923075,29.05,11.44,0
280,36,66,1.5384615384615383,2.3076923076923075,29.05,11.44,0
280,73,27,1.5384615384615383,2.3076923076923075,29.05,11.44,0
280,92,8,1.5384615384615383,2.3076923076923075,29.05,11.44,0
320,36,66,1.5384615384615383,2.3076923076923075,29.05,11.44,1
320,73,27,1.5384615384615383,2.3076923076923075,29.05,11.44,0
320,92,8,1.5384615384615383,2.3076923076923075,29.05,11.44,0
80,36,66,1.2903225806451613,1.9354838709677418,32.55,13.09,1
80,73,27,1.2903225806451613,1.9354838709677418,32.55,13.09,0
80,92,8,1.2903225806451613,1.9354838709677418,32.55,13.09,1
90,36,66,1.2903225806451613,1.9354838709677418,32.55,13.09,0
90,73,27,1.2903225806451613,1.9354838709677418,32.55,13.09,0
90,92,8,1.2903225806451613,1.9354838709677418,32.55,13.09,0
97,36,66,1.2903225806451613,1.9354838709677418,32.55,13.09,1
97,73,27,1.2903225806451613,1.9354838709677418,32.55,13.09,0
97,92,8,1.2903225806451613,1.9354838709677418,32.55,13.09,0
100,36,66,1.2903225806451613,1.9354838709677418,32.55,13.09,0
100,73,27,1.2903225806451613,1.9354838709677418,32.55,13.09,0
100,92,8,1.2903225806451613,1.9354838709677418,32.55,13.09,0
150,36,66,1.2903225806451613,1.9354838709677418,32.55,13.09,0
150,73,27,1.2903225806451613,1.9354838709677418,32.55,13.09,0
150,92,8,1.2903225806451613,1.9354838709677418,32.55,13.09,0
170,36,66,1.2903225806451613,1.9354838709677418,32.55,13.09,0
170,73,27,1.2903225806451613,1.9354838709677418,32.55,13.09,0
170,92,8,1.2903225806451613,1.9354838709677418,32.55,13.09,0
210,36,66,1.2903225806451613,1.9354838709677418,32.55,13.09,0
210,73,27,1.2903225806451613,1.9354838709677418,32.55,13.09,0
210,92,8,1.2903225806451613,1.9354838709677418,32.55,13.09,0
250,36,66,1.2903225806451613,1.9354838709677418,32.55,13.09,0
250,73,27,1.2903225806451613,1.9354838709677418,32.55,13.09,0
250,92,8,1.2903225806451613,1.9354838709677418,32.55,13.09,0
280,36,66,1.2903225806451613,1.9354838709677418,32.55,13.09,0
280,73,27,1.2903225806451613,1.9354838709677418,32.55,13.09,0
280,92,8,1.2903225806451613,1.9354838709677418,32.55,13.09,0
320,36,66,1.2903225806451613,1.9354838709677418,32.55,13.09,0
320,73,27,1.2903225806451613,1.9354838709677418,32.55,13.09,0
320,92,8,1.2903225806451613,1.9354838709677418,32.55,13.09,0
80,36,66,1.0256410256410258,1.5384615384615385,38.34,15.71,0
80,73,27,1.0256410256410258,1.5384615384615385,38.34,15.71,1
80,92,8,1.0256410256410258,1.5384615384615385,38.34,15.71,0
90,36,66,1.0256410256410258,1.5384615384615385,38.34,15.71,1
90,73,27,1.0256410256410258,1.5384615384615385,38.35,15.71,0
90,92,8,1.0256410256410258,1.5384615384615385,38.34,15.71,0
100,36,66,1.0256410256410258,1.5384615384615385,38.34,15.71,1
100,73,27,1.0256410256410258,1.5384615384615385,38.35,15.71,0
100,92,8,1.0256410256410258,1.5384615384615385,38.35,15.71,0
150,36,66,1.0256410256410258,1.5384615384615385,38.34,15.71,0
150,73,27,1.0256410256410258,1.5384615384615385,38.34,15.71,0
150,92,8,1.0256410256410258,1.5384615384615385,38.34,15.71,0
210,36,66,1.0256410256410258,1.5384615384615385,38.34,15.71,0
210,73,27,1.0256410256410258,1.5384615384615385,38.34,15.71,0
210,92,8,1.0256410256410258,1.5384615384615385,38.34,15.71,0
280,36,66,1.0256410256410258,1.5384615384615385,38.34,15.71,1
280,73,27,1.0256410256410258,1.5384615384615385,38.34,15.71,0
280,92,8,1.0256410256410258,1.5384615384615385,38.34,15.71,0
320,36,66,1.0256410256410258,1.5384615384615385,38.34,15.71,0
320,73,27,1.0256410256410258,1.5384615384615385,38.34,15.71,0
320,92,8,1.0256410256410258,1.5384615384615385,38.34,15.71,0
97,36,66,0.7782101167315175,1.1673151750972763,46.64,19.42,0
97,73,27,0.7782101167315175,1.1673151750972763,46.64,19.42,0
97,92,8,0.7782101167315175,1.1673151750972763,46.64,19.42,0
170,36,66,0.7782101167315175,1.1673151750972763,46.64,19.42,0
170,73,27,0.7782101167315175,1.1673151750972763,46.64,19.42,0
170,92,8,0.7782101167315175,1.1673151750972763,46.64,19.42,0
210,36,66,0.7782101167315175,1.1673151750972763,46.64,19.42,0
210,73,27,0.7782101167315175,1.1673151750972763,46.64,19.42,0
210,92,8,0.7782101167315175,1.1673151750972763,46.64,19.42,0
250,36,66,0.7782101167315175,1.1673151750972763,46.64,19.42,0
250,73,27,0.7782101167315175,1.1673151750972763,46.64,19.42,0
250,92,8,0.7782101167315175,1.1673151750972763,46.64,19.42,0
320,36,66,0.7782101167315175,1.1673151750972763,46.64,19.42,0
320,73,27,0.7782101167315175,1.1673151750972763,46.64,19.42,0
320,92,8,0.7782101167315175,1.1673151750972763,46.64,19.42,0
80,36,66,0.5555555555555556,0.8333333333333333,61.76,23.95,0
80,73,27,0.5555555555555556,0.8333333333333333,61.76,23.95,0
80,92,8,0.5555555555555556,0.8333333333333333,61.89,24.08,0
90,36,66,0.5555555555555556,0.8333333333333333,61.89,24.08,0
90,73,27,0.5555555555555556,0.8333333333333333,61.89,24.08,0
90,92,8,0.5555555555555556,0.8333333333333333,61.89,24.08,0
97,36,66,0.5555555555555556,0.8333333333333333,61.89,24.08,0
97,73,27,0.5555555555555556,0.8333333333333333,61.89,24.08,0
97,92,8,0.5555555555555556,0.8333333333333333,61.89,24.08,0
100,36,66,0.5555555555555556,0.8333333333333333,61.89,24.08,0
100,73,27,0.5555555555555556,0.8333333333333333,61.76,23.95,0
100,92,8,0.5555555555555556,0.8333333333333333,61.76,23.95,0
150,36,66,0.5555555555555556,0.8333333333333333,61.76,23.95,0
150,73,27,0.5555555555555556,0.8333333333333333,61.76,23.95,0
150,92,8,0.5555555555555556,0.8333333333333333,61.76,23.95,0
170,36,66,0.5555555555555556,0.8333333333333333,61.89,24.08,0
170,73,27,0.5555555555555556,0.8333333333333333,61.89,24.08,0
170,92,8,0.5555555555555556,0.8333333333333333,61.89,24.08,0
210,36,66,0.5555555555555556,0.8333333333333333,61.76,23.95,0
210,73,27,0.5555555555555556,0.8333333333333333,61.76,23.95,0
210,92,8,0.5555555555555556,0.8333333333333333,61.76,23.95,0
250,36,66,0.5555555555555556,0.8333333333333333,61.76,23.95,0
250,73,27,0.5555555555555556,0.8333333333333333,61.76,23.95,0
250,92,8,0.5555555555555556,0.8333333333333333,61.76,23.95,0
280,36,66,0.5555555555555556,0.8333333333333333,61.76,23.95,0
280,73,27,0.5555555555555556,0.8333333333333333,61.76,23.95,0
280,92,8,0.5555555555555556,0.8333333333333333,61.89,24.08,0
320,36,66,0.5555555555555556,0.8333333333333333,61.76,23.95,0
320,73,27,0.5555555555555556,0.8333333333333333,61.76,23.95,0
320,92,8,0.5555555555555556,0.8333333333333333,61.76,23.95,0
80,36,66,0.5194805194805194,0.7792207792207793,65.41,25.13,0
80,73,27,0.5194805194805194,0.7792207792207793,65.41,25.13,0
80,92,8,0.5194805194805194,0.7792207792207793,65.41,25.13,0
90,36,66,0.5194805194805194,0.7792207792207793,65.41,25.13,0
90,73,27,0.5194805194805194,0.7792207792207793,65.41,25.13,0
90,92,8,0.5194805194805194,0.7792207792207793,65.41,25.13,0
100,36,66,0.5194805194805194,0.7792207792207793,65.41,25.13,1
100,73,27,0.5194805194805194,0.7792207792207793,65.41,25.13,0
100,92,8,0.5194805194805194,0.7792207792207793,65.41,25.13,0
150,36,66,0.5194805194805194,0.7792207792207793,65.41,25.13,0
150,73,27,0.5194805194805194,0.7792207792207793,65.41,25.13,0
150,92,8,0.5194805194805194,0.7792207792207793,65.41,25.13,0
210,36,66,0.5194805194805194,0.7792207792207793,65.41,25.13,0
210,73,27,0.5194805194805194,0.7792207792207793,65.41,25.13,0
210,92,8,0.5194805194805194,0.7792207792207793,65.41,25.13,0
280,36,66,0.5194805194805194,0.7792207792207793,65.41,25.13,0
280,73,27,0.5194805194805194,0.7792207792207793,65.41,25.13,0
280,92,8,0.5194805194805194,0.7792207792207793,65.41,25.13,0
320,36,66,0.5194805194805194,0.7792207792207793,65.41,25.13,0
320,73,27,0.5194805194805194,0.7792207792207793,65.41,25.13,0
320,92,8,0.5194805194805194,0.7792207792207793,65.41,25.14,0
80,36,66,1.5384615384615383,2.3076923076923075,29.05,365.79,0
80,73,27,1.5384615384615383,2.3076923076923075,29.05,353.75,0
80,92,8,1.5384615384615383,2.3076923076923075,29.05,448.4,0
80,97,3,1.5384615384615383,2.3076923076923075,29.05,448.4,0
90,36,66,1.5384615384615383,2.3076923076923075,29.05,363.51,1
90,73,27,1.5384615384615383,2.3076923076923075,29.05,363.51,1
90,92,8,1.5384615384615383,2.3076923076923075,29.05,363.51,0
90,97,3,1.5384615384615383,2.3076923076923075,29.05,363.51,0
100,36,66,1.5384615384615383,2.3076923076923075,29.05,363.51,1
100,73,27,1.5384615384615383,2.3076923076923075,29.05,343.56,0
100,92,8,1.5384615384615383,2.3076923076923075,29.05,343.56,1
100,97,3,1.5384615384615383,2.3076923076923075,29.05,343.56,0
150,36,66,1.5384615384615383,2.3076923076923075,29.05,343.56,0
150,73,27,1.5384615384615383,2.3076923076923075,29.05,381.22,0
150,92,8,1.5384615384615383,2.3076923076923075,29.05,413.24,0
150,97,3,1.5384615384615383,2.3076923076923075,29.05,413.24,0
210,36,66,1.5384615384615383,2.3076923076923075,29.05,413.24,0
210,73,27,1.5384615384615383,2.3076923076923075,29.05,413.24,1
210,92,8,1.5384615384615383,2.3076923076923075,29.05,429.69,1
210,97,3,1.5384615384615383,2.3076923076923075,29.05,448.4,0
280,36,66,1.5384615384615383,2.3076923076923075,29.05,404.56,1
280,73,27,1.5384615384615383,2.3076923076923075,29.05,385.36,1
280,92,8,1.5384615384615383,2.3076923076923075,29.05,11.57,0
280,97,3,1.5384615384615383,2.3076923076923075,29.05,292.35,0
320,36,66,1.5384615384615383,2.3076923076923075,29.05,11.6,1
320,73,27,1.5384615384615383,2.3076923076923075,29.05,344.72,1
320,92,8,1.5384615384615383,2.3076923076923075,29.05,425.78,0
320,97,3,1.5384615384615383,2.3076923076923075,29.05,469.31,0
80,36,66,1.2903225806451613,1.9354838709677418,32.55,410.99,1
80,73,27,1.2903225806451613,1.9354838709677418,32.55,405.21,0
80,92,8,1.2903225806451613,1.9354838709677418,32.55,410.99,1
80,97,3,1.2903225806451613,1.9354838709677418,32.55,410.99,0
90,36,66,1.2903225806451613,1.9354838709677418,32.55,299.11,0
90,73,27,1.2903225806451613,1.9354838709677418,32.55,299.11,1
90,92,8,1.2903225806451613,1.9354838709677418,32.55,432.18,1
90,97,3,1.2903225806451613,1.9354838709677418,32.55,413.91,0
97,36,66,1.2903225806451613,1.9354838709677418,32.55,11.8,0
97,73,27,1.2903225806451613,1.9354838709677418,32.55,13.29,0
97,92,8,1.2903225806451613,1.9354838709677418,32.55,169.46,0
97,97,3,1.2903225806451613,1.9354838709677418,32.55,178.93,0
100,36,66,1.2903225806451613,1.9354838709677418,32.55,299.11,0
100,73,27,1.2903225806451613,1.9354838709677418,32.55,381.86,0
100,92,8,1.2903225806451613,1.9354838709677418,32.55,298.76,0
100,97,3,1.2903225806451613,1.9354838709677418,32.55,187.81,1
150,36,66,1.2903225806451613,1.9354838709677418,32.55,402.18,0
150,73,27,1.2903225806451613,1.9354838709677418,32.55,402.18,1
150,92,8,1.2903225806451613,1.9354838709677418,32.55,402.18,0
150,97,3,1.2903225806451613,1.9354838709677418,32.55,402.18,0
170,36,66,1.2903225806451613,1.9354838709677418,32.55,185.7,1
170,73,27,1.2903225806451613,1.9354838709677418,32.55,207.35,0
170,92,8,1.2903225806451613,1.9354838709677418,32.55,216.82,0
170,97,3,1.2903225806451613,1.9354838709677418,32.55,222.9,0
210,36,66,1.2903225806451613,1.9354838709677418,32.55,252.67,0
210,73,27,1.2903225806451613,1.9354838709677418,32.55,262.14,1
210,92,8,1.2903225806451613,1.9354838709677418,32.55,268.91,0
210,97,3,1.2903225806451613,1.9354838709677418,32.55,272.97,0
280,36,66,1.2903225806451613,1.9354838709677418,32.55,402.18,0
280,73,27,1.2903225806451613,1.9354838709677418,32.55,381.86,0
280,92,8,1.2903225806451613,1.9354838709677418,32.55,427.27,1
280,97,3,1.2903225806451613,1.9354838709677418,32.55,410.99,0
320,36,66,1.2903225806451613,1.9354838709677418,32.55,225.61,0
320,73,27,1.2903225806451613,1.9354838709677418,32.55,237.79,1
320,92,8,1.2903225806451613,1.9354838709677418,32.55,245.91,0
320,97,3,1.2903225806451613,1.9354838709677418,32.55,249.97,0
80,36,66,1.0256410256410258,1.5384615384615385,38.34,325.9,0
80,73,27,1.0256410256410258,1.5384615384615385,38.34,333.85,0
80,92,8,1.0256410256410258,1.5384615384615385,38.34,341.79,0
80,97,3,1.0256410256410258,1.5384615384615385,38.34,345.76,0
90,36,66,1.0256410256410258,1.5384615384615385,38.34,345.76,0
90,73,27,1.0256410256410258,1.5384615384615385,38.34,353.69,0
90,92,8,1.0256410256410258,1.5384615384615385,38.34,357.66,0
90,97,3,1.0256410256410258,1.5384615384615385,38.34,13.25,0
100,36,66,1.0256410256410258,1.5384615384615385,38.35,178.38,0
100,73,27,1.0256410256410258,1.5384615384615385,38.35,212.89,1
100,92,8,1.0256410256410258,1.5384615384615385,38.35,237.45,0
100,97,3,1.0256410256410258,1.5384615384615385,38.35,250.73,0
150,36,66,1.0256410256410258,1.5384615384615385,38.34,317.97,0
150,73,27,1.0256410256410258,1.5384615384615385,38.34,399.59,1
150,92,8,1.0256410256410258,1.5384615384615385,38.34,317.97,0
150,97,3,1.0256410256410258,1.5384615384615385,38.34,317.97,0
210,36,66,1.0256410256410258,1.5384615384615385,38.34,342.96,1
210,73,27,1.0256410256410258,1.5384615384615385,38.34,342.96,1
210,92,8,1.0256410256410258,1.5384615384615385,38.34,381.52,0
210,97,3,1.0256410256410258,1.5384615384615385,38.35,407.22,0
280,36,66,1.0256410256410258,1.5384615384615385,38.35,420.07,1
280,73,27,1.0256410256410258,1.5384615384615385,38.35,462.03,0
280,92,8,1.0256410256410258,1.5384615384615385,38.35,487.73,0
280,97,3,1.0256410256410258,1.5384615384615385,38.35,507.01,0
320,36,66,1.0256410256410258,1.5384615384615385,38.35,455.61,0
320,73,27,1.0256410256410258,1.5384615384615385,38.35,455.61,1
320,92,8,1.0256410256410258,1.5384615384615385,38.34,317.97,0
320,97,3,1.0256410256410258,1.5384615384615385,38.34,317.97,0
97,36,66,0.7782101167315175,1.1673151750972763,46.64,11.55,1
97,73,27,0.7782101167315175,1.1673151750972763,46.64,11.82,1
97,92,8,0.7782101167315175,1.1673151750972763,46.64,157.99,0
97,97,3,0.7782101167315175,1.1673151750972763,46.64,162.29,0
170,36,66,0.7782101167315175,1.1673151750972763,46.64,11.55,1
170,73,27,0.7782101167315175,1.1673151750972763,46.64,11.82,0
170,92,8,0.7782101167315175,1.1673151750972763,46.64,11.93,1
170,97,3,0.7782101167315175,1.1673151750972763,46.64,12.0,0
210,36,66,0.7782101167315175,1.1673151750972763,46.64,171.03,0
210,73,27,0.7782101167315175,1.1673151750972763,46.64,179.85,0
210,92,8,0.7782101167315175,1.1673151750972763,46.64,184.88,0
210,97,3,0.7782101167315175,1.1673151750972763,46.64,188.66,0
320,36,66,0.7782101167315175,1.1673151750972763,46.64,152.14,0
320,73,27,0.7782101167315175,1.1673151750972763,46.64,159.7,1
320,92,8,0.7782101167315175,1.1673151750972763,46.64,167.25,0
320,97,3,0.7782101167315175,1.1673151750972763,46.64,169.77,1
80,36,66,0.5555555555555556,0.8333333333333333,61.89,395.38,1
80,73,27,0.5555555555555556,0.8333333333333333,61.89,477.43,1
80,92,8,0.5555555555555556,0.8333333333333333,61.89,172.71,0
80,97,3,0.5555555555555556,0.8333333333333333,61.89,389.03,1
90,36,66,0.5555555555555556,0.8333333333333333,61.89,323.64,1
90,73,27,0.5555555555555556,0.8333333333333333,61.76,11.8,1
90,92,8,0.5555555555555556,0.8333333333333333,61.89,323.64,0
90,97,3,0.5555555555555556,0.8333333333333333,61.76,11.46,0
97,36,66,0.5555555555555556,0.8333333333333333,61.76,11.98,1
97,73,27,0.5555555555555556,0.8333333333333333,61.76,12.16,1
97,92,8,0.5555555555555556,0.8333333333333333,61.76,13.29,1
97,97,3,0.5555555555555556,0.8333333333333333,61.76,13.36,1
100,36,66,0.5555555555555556,0.8333333333333333,61.76,11.6,1
100,73,27,0.5555555555555556,0.8333333333333333,61.89,155.22,0
100,92,8,0.5555555555555556,0.8333333333333333,61.89,167.33,0
100,97,3,0.5555555555555556,0.8333333333333333,61.89,246.03,0
150,36,66,0.5555555555555556,0.8333333333333333,61.89,178.09,0
150,73,27,0.5555555555555556,0.8333333333333333,61.89,190.2,0
150,92,8,0.5555555555555556,0.8333333333333333,61.89,198.27,0
150,97,3,0.5555555555555556,0.8333333333333333,61.89,203.66,0
170,36,66,0.5555555555555556,0.8333333333333333,61.89,153.3,0
170,73,27,0.5555555555555556,0.8333333333333333,61.89,159.81,1
170,92,8,0.5555555555555556,0.8333333333333333,61.89,165.03,0
170,97,3,0.5555555555555556,0.8333333333333333,61.89,167.63,1
210,36,66,0.5555555555555556,0.8333333333333333,61.89,181.97,1
210,73,27,0.5555555555555556,0.8333333333333333,61.89,187.18,0
210,92,8,0.5555555555555556,0.8333333333333333,61.89,192.4,0
210,97,3,0.5555555555555556,0.8333333333333333,61.89,193.7,0
280,36,66,0.5555555555555556,0.8333333333333333,61.89,205.0,0
280,73,27,0.5555555555555556,0.8333333333333333,61.89,221.14,0
280,92,8,0.5555555555555556,0.8333333333333333,61.89,229.89,0
280,97,3,0.5555555555555556,0.8333333333333333,61.89,233.92,0
320,36,66,0.5555555555555556,0.8333333333333333,61.89,168.94,0
320,73,27,0.5555555555555556,0.8333333333333333,61.89,174.15,0
320,92,8,0.5555555555555556,0.8333333333333333,61.89,179.37,0
320,97,3,0.5555555555555556,0.8333333333333333,61.89,180.67,0
80,36,66,0.5194805194805194,0.7792207792207793,65.41,381.13,1
80,73,27,0.5194805194805194,0.7792207792207793,65.41,394.84,1
80,92,8,0.5194805194805194,0.7792207792207793,65.41,394.84,0
80,97,3,0.5194805194805194,0.7792207792207793,65.41,183.1,0
90,36,66,0.5194805194805194,0.7792207792207793,65.41,185.93,0
90,73,27,0.5194805194805194,0.7792207792207793,65.41,195.87,0
90,92,8,0.5194805194805194,0.7792207792207793,65.41,202.97,0
90,97,3,0.5194805194805194,0.7792207792207793,65.41,207.23,0
100,36,66,0.5194805194805194,0.7792207792207793,65.41,208.65,1
100,73,27,0.5194805194805194,0.7792207792207793,65.41,218.59,0
100,92,8,0.5194805194805194,0.7792207792207793,65.41,227.11,0
100,97,3,0.5194805194805194,0.7792207792207793,65.41,231.37,0
150,36,66,0.5194805194805194,0.7792207792207793,65.41,232.79,1
150,73,27,0.5194805194805194,0.7792207792207793,65.41,241.95,0
150,92,8,0.5194805194805194,0.7792207792207793,65.41,186.59,1
150,97,3,0.5194805194805194,0.7792207792207793,65.41,383.14,0
210,36,66,0.5194805194805194,0.7792207792207793,65.41,446.04,0
210,73,27,0.5194805194805194,0.7792207792207793,65.41,385.25,1
210,92,8,0.5194805194805194,0.7792207792207793,65.41,189.34,0
210,97,3,0.5194805194805194,0.7792207792207793,65.41,385.25,0
280,36,66,0.5194805194805194,0.7792207792207793,65.41,11.68,1
280,73,27,0.5194805194805194,0.7792207792207793,65.41,11.95,0
280,92,8,0.5194805194805194,0.7792207792207793,65.41,156.02,0
280,97,3,0.5194805194805194,0.7792207792207793,65.41,162.43,0
320,36,66,0.5194805194805194,0.7792207792207793,65.41,167.56,1
320,73,27,0.5194805194805194,0.7792207792207793,65.41,180.37,1
320,92,8,0.5194805194805194,0.7792207792207793,65.41,194.47,0
320,97,3,0.5194805194805194,0.7792207792207793,65.41,374.88,0
80,100,0,1.5384615384615383,2.3076923076923075,8.45,0.0,1
90,100,0,1.5384615384615383,2.3076923076923075,8.45,0.0,0
100,100,0,1.5384615384615383,2.3076923076923075,8.45,0.0,1
150,100,0,1.5384615384615383,2.3076923076923075,8.45,0.0,1
210,100,0,1.5384615384615383,2.3076923076923075,8.45,0.0,1
280,100,0,1.5384615384615383,2.3076923076923075,8.45,0.0,1
300,100,0,1.5384615384615383,2.3076923076923075,8.45,0.0,1
320,100,0,1.5384615384615383,2.3076923076923075,8.45,0.0,1
80,100,0,1.2903225806451613,1.9354838709677418,8.45,0.0,1
90,100,0,1.2903225806451613,1.9354838709677418,8.45,0.0,1
100,100,0,1.2903225806451613,1.9354838709677418,8.45,0.0,1
150,100,0,1.2903225806451613,1.9354838709677418,8.45,0.0,1
210,100,0,1.2903225806451613,1.9354838709677418,8.45,0.0,1
280,100,0,1.2903225806451613,1.9354838709677418,8.45,0.0,0
320,100,0,1.2903225806451613,1.9354838709677418,8.46,0.0,0
80,100,0,1.0256410256410258,1.5384615384615385,8.45,0.0,1
90,100,0,1.0256410256410258,1.5384615384615385,8.45,0.0,1
100,100,0,1.0256410256410258,1.5384615384615385,8.45,0.0,1
150,100,0,1.0256410256410258,1.5384615384615385,8.45,0.0,1
210,100,0,1.0256410256410258,1.5384615384615385,8.45,0.0,0
280,100,0,1.0256410256410258,1.5384615384615385,8.45,0.0,0
320,100,0,1.0256410256410258,1.5384615384615385,8.45,0.0,0
80,100,0,0.7782101167315175,1.1673151750972763,8.46,0.0,1
100,100,0,0.7782101167315175,1.1673151750972763,8.46,0.0,1
300,100,0,0.7782101167315175,1.1673151750972763,8.46,0.0,0
80,100,0,0.5555555555555556,0.8333333333333333,8.58,0.0,0
90,100,0,0.5555555555555556,0.8333333333333333,8.58,0.0,0
100,100,0,0.5555555555555556,0.8333333333333333,8.58,0.0,0
150,100,0,0.5555555555555556,0.8333333333333333,8.58,0.0,0
210,100,0,0.5555555555555556,0.8333333333333333,8.58,0.0,0
280,100,0,0.5555555555555556,0.8333333333333333,8.58,0.0,0
320,100,0,0.5555555555555556,0.8333333333333333,8.58,0.0,0
80,100,0,0.5194805194805194,0.7792207792207793,8.58,0.0,0
90,100,0,0.5194805194805194,0.7792207792207793,8.58,0.0,0
100,100,0,0.5194805194805194,0.7792207792207793,8.58,0.0,0
150,100,0,0.5194805194805194,0.7792207792207793,8.58,0.0,0
210,100,0,0.5194805194805194,0.7792207792207793,8.58,0.0,0
280,100,0,0.5194805194805194,0.7792207792207793,8.58,0.0,0
300,100,0,0.5194805194805194,0.7792207792207793,8.58,0.0,0
320,100,0,0.5194805194805194,0.7792207792207793,8.58,0.0,0
80,40,60,1.5384615384615383,2.3076923076923075,8.45,0.01,1
80,50,50,1.5384615384615383,2.3076923076923075,8.45,0.01,1
80,80,20,1.5384615384615383,2.3076923076923075,8.45,0.01,1
100,40,60,1.5384615384615383,2.3076923076923075,8.45,0.01,1
100,50,50,1.5384615384615383,2.3076923076923075,8.45,0.01,1
100,80,20,1.5384615384615383,2.3076923076923075,8.45,0.01,1
300,40,60,1.5384615384615383,2.3076923076923075,8.45,0.01,1
300,50,50,1.5384615384615383,2.3076923076923075,8.45,0.01,1
300,80,20,1.5384615384615383,2.3076923076923075,8.45,0.01,1
80,40,60,0.7782101167315175,1.1673151750972763,8.46,0.01,1
80,50,50,0.7782101167315175,1.1673151750972763,8.46,0.01,0
80,80,20,0.7782101167315175,1.1673151750972763,8.46,0.01,1
100,40,60,0.7782101167315175,1.1673151750972763,8.46,0.01,1
